state,year,month,deaths
AK,2015,January,4034.0
AK,2015,February,4084.0
AK,2015,March,4101.0
AK,2015,April,4133.0
AK,2015,May,4196.0
AK,2015,June,4201.0
AK,2015,July,4220.0
AK,2015,August,4222.0
AK,2015,September,4242.0
AK,2015,October,4241.0
AK,2015,November,4219.0
AK,2015,December,4193.0
AK,2016,January,4213.0
AK,2016,February,4198.0
AK,2016,March,4230.0
AK,2016,April,4262.0
AK,2016,May,4241.0
AK,2016,June,4261.0
AK,2016,July,4269.0
AK,2016,August,4276.0
AK,2016,September,4256.0
AK,2016,October,4291.0
AK,2016,November,4289.0
AK,2016,December,4355.0
AK,2017,January,4374.0
AK,2017,February,4347.0
AK,2017,March,4360.0
AK,2017,April,4326.0
AK,2017,May,4278.0
AK,2017,June,4277.0
AK,2017,July,4238.0
AK,2017,August,4236.0
AK,2017,September,4300.0
AK,2017,October,4283.0
AK,2017,November,4310.0
AK,2015,January,126.0
AK,2015,February,127.0
AK,2015,March,125.0
AK,2015,April,126.0
AK,2015,May,125.0
AK,2015,June,121.0
AK,2015,July,117.0
AK,2015,August,124.0
AK,2015,September,125.0
AK,2015,October,120.0
AK,2015,November,115.0
AK,2015,December,121.0
AK,2016,January,126.0
AK,2016,February,128.0
AK,2016,March,125.0
AK,2016,April,132.0
AK,2016,May,140.0
AK,2016,June,138.0
AK,2016,July,143.0
AK,2016,August,138.0
AK,2016,September,131.0
AK,2016,October,131.0
AK,2016,November,133.0
AK,2016,December,129.0
AK,2017,January,126.0
AK,2017,February,124.0
AK,2017,March,126.0
AK,2017,April,117.0
AK,2017,May,120.0
AK,2017,June,122.0
AK,2017,July,128.0
AK,2017,August,137.0
AK,2017,September,148.0
AK,2017,October,144.0
AK,2017,November,138.0
AL,2015,January,49543.0
AL,2015,February,50004.0
AL,2015,March,50486.0
AL,2015,April,50565.0
AL,2015,May,50516.0
AL,2015,June,50658.0
AL,2015,July,50841.0
AL,2015,August,50930.0
AL,2015,September,51044.0
AL,2015,October,51091.0
AL,2015,November,51093.0
AL,2015,December,50870.0
AL,2016,January,50534.0
AL,2016,February,50555.0
AL,2016,March,50348.0
AL,2016,April,50391.0
AL,2016,May,50511.0
AL,2016,June,50613.0
AL,2016,July,50683.0
AL,2016,August,50756.0
AL,2016,September,50810.0
AL,2016,October,50869.0
AL,2016,November,51110.0
AL,2016,December,51431.0
AL,2017,January,51656.0
AL,2017,February,51546.0
AL,2017,March,51674.0
AL,2017,April,51801.0
AL,2017,May,51951.0
AL,2017,June,52013.0
AL,2017,July,52050.0
AL,2017,August,52092.0
AL,2017,September,52250.0
AL,2017,October,52288.0
AL,2017,November,52281.0
AL,2015,January,715.0
AL,2015,February,723.0
AL,2015,March,733.0
AL,2015,April,738.0
AL,2015,May,755.0
AL,2015,June,756.0
AL,2015,July,743.0
AL,2015,August,736.0
AL,2015,September,744.0
AL,2015,October,730.0
AL,2015,November,725.0
AL,2015,December,720.0
AL,2016,January,706.0
AL,2016,February,710.0
AL,2016,March,681.0
AL,2016,April,676.0
AL,2016,May,654.0
AL,2016,June,674.0
AL,2016,July,681.0
AL,2016,August,685.0
AL,2016,September,695.0
AL,2016,October,704.0
AL,2016,November,718.0
AL,2016,December,740.0
AL,2017,January,763.0
AL,2017,February,759.0
AL,2017,March,793.0
AL,2017,April,793.0
AL,2017,May,810.0
AL,2017,June,802.0
AL,2017,July,808.0
AL,2017,August,807.0
AL,2017,September,798.0
AL,2017,October,800.0
AL,2017,November,798.0
AR,2015,January,30122.0
AR,2015,February,30332.0
AR,2015,March,30387.0
AR,2015,April,30444.0
AR,2015,May,30602.0
AR,2015,June,30722.0
AR,2015,July,30685.0
AR,2015,August,30884.0
AR,2015,September,30931.0
AR,2015,October,31015.0
AR,2015,November,31007.0
AR,2015,December,30986.0
AR,2016,January,30624.0
AR,2016,February,30413.0
AR,2016,March,30421.0
AR,2016,April,30489.0
AR,2016,May,30361.0
AR,2016,June,30434.0
AR,2016,July,30590.0
AR,2016,August,30488.0
AR,2016,September,30540.0
AR,2016,October,30489.0
AR,2016,November,30697.0
AR,2016,December,31028.0
AR,2017,January,31116.0
AR,2017,February,31159.0
AR,2017,March,31312.0
AR,2017,April,31386.0
AR,2017,May,31500.0
AR,2017,June,31557.0
AR,2017,July,31552.0
AR,2017,August,31599.0
AR,2017,September,31721.0
AR,2017,October,31726.0
AR,2017,November,31657.0
AR,2015,January,366.0
AR,2015,February,366.0
AR,2015,March,385.0
AR,2015,April,373.0
AR,2015,May,383.0
AR,2015,June,391.0
AR,2015,July,395.0
AR,2015,August,398.0
AR,2015,September,392.0
AR,2015,October,397.0
AR,2015,November,389.0
AR,2015,December,381.0
AR,2016,January,378.0
AR,2016,February,379.0
AR,2016,March,363.0
AR,2016,April,372.0
AR,2016,May,376.0
AR,2016,June,369.0
AR,2016,July,378.0
AR,2016,August,383.0
AR,2016,September,379.0
AR,2016,October,372.0
AR,2016,November,378.0
AR,2016,December,386.0
AR,2017,January,384.0
