State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2015,January,Number of Deaths,4034,,100,0,
AK,Alaska,2015,February,Number of Deaths,4084,,100,0,
AK,Alaska,2015,March,Number of Deaths,4101,,100,0,
AK,Alaska,2015,April,Number of Deaths,4133,,100,0,
AK,Alaska,2015,May,Number of Deaths,4196,,100,0,
AK,Alaska,2015,June,Number of Deaths,4201,,100,0,
AK,Alaska,2015,July,Number of Deaths,4220,,100,0,
AK,Alaska,2015,August,Number of Deaths,4222,,100,0,
AK,Alaska,2015,September,Number of Deaths,4242,,100,0,
AK,Alaska,2015,October,Number of Deaths,4241,,100,0,
AK,Alaska,2015,November,Number of Deaths,4219,,100,0,
AK,Alaska,2015,December,Number of Deaths,4193,,100,0,
AK,Alaska,2016,January,Number of Deaths,4213,,100,0,
AK,Alaska,2016,February,Number of Deaths,4198,,100,0,
AK,Alaska,2016,March,Number of Deaths,4230,,100,0,
AK,Alaska,2016,April,Number of Deaths,4262,,100,0,
AK,Alaska,2016,May,Number of Deaths,4241,,100,0,
AK,Alaska,2016,June,Number of Deaths,4261,,100,0,
AK,Alaska,2016,July,Number of Deaths,4269,,100,0,
AK,Alaska,2016,August,Number of Deaths,4276,,100,0.023386342376052,
AK,Alaska,2016,September,Number of Deaths,4256,,100,0.046992481203008,
AK,Alaska,2016,October,Number of Deaths,4291,,100,0.069913773013284,
AK,Alaska,2016,November,Number of Deaths,4289,,100,0.069946374446258,
AK,Alaska,2016,December,Number of Deaths,4355,,100,0.068886337543054,
AK,Alaska,2017,January,Number of Deaths,4374,,100,0.068587105624143,* Underreported due to incomplete data
AK,Alaska,2017,February,Number of Deaths,4347,,100,0.069013112491373,* Underreported due to incomplete data
AK,Alaska,2017,March,Number of Deaths,4360,,100,0.068807339449541,* Underreported due to incomplete data
AK,Alaska,2017,April,Number of Deaths,4326,,100,0.069348127600555,* Underreported due to incomplete data
AK,Alaska,2017,May,Number of Deaths,4278,,100,0.070126227208976,* Underreported due to incomplete data
